,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,27,45,4,568,47,13.85,1225,46.36,0,0,70,8,10,0
ODIs,13,7,1,59,30,9.83,87,67.81,0,0,3,0,2,0
T20Is,14,8,5,77,21*,25.66,56,137.50,0,0,5,4,5,0
First-class,76,117,14,2598,105,25.22,4489,57.87,2,13,332,47,35,0
List A,55,40,8,670,80,20.93,742,90.29,0,4,52,22,13,0
Twenty20,44,30,14,456,37,28.50,315,144.76,0,0,22,27,16,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,27,49,4984,2796,72,6/40,9/60,38.83,3.36,69.2,0,2,0
ODIs,13,13,668,549,17,3/31,3/31,32.29,4.93,39.2,0,0,0
T20Is,14,14,262,408,17,3/25,3/25,24.00,9.34,15.4,0,0,0
First-class,76,136,13941,8013,233,7/35,9/60,34.39,3.44,59.8,5,8,0
List A,55,52,2442,2075,71,4/43,4/43,29.22,5.09,34.3,3,0,0
Twenty20,44,43,797,1168,52,3/21,3/21,22.46,8.79,15.3,0,0,0
