,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,79,117,11,3000,217*,28.30,6005,49.95,3,16,366,15,247,35
List A,40,34,6,921,157*,32.89,942,97.77,1,5,,,39,15
Twenty20,54,37,7,461,71,15.36,417,110.55,0,2,47,8,44,15



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,79,-,-,-,-,-,-,-,-,-,-,-,-
List A,40,-,-,-,-,-,-,-,-,-,-,-,-
Twenty20,54,-,-,-,-,-,-,-,-,-,-,-,-



