,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
T20Is,1,1,0,19,19,19.00,24,79.16,0,0,1,0,1,0
First-class,30,50,5,1641,211,36.46,3119,52.61,6,4,201,27,37,2
List A,50,45,7,1091,90,28.71,1407,77.54,0,8,91,16,48,9
Twenty20,91,86,10,1937,87,25.48,1637,118.32,0,13,156,70,55,6


,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
T20Is,1,-,-,-,-,-,-,-,-,-,-,-,-
First-class,30,1,6,7,0,-,-,-,7.00,-,0,0,0
List A,50,-,-,-,-,-,-,-,-,-,-,-,-
Twenty20,91,1,3,4,1,1/4,1/4,4.00,8.00,3.0,0,0,0


