,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,94,159,13,7470,311*,51.16,14866,50.24,25,31,929,9,80,0
ODIs,138,135,10,6490,159,51.92,7268,89.29,23,30,655,41,69,0
T20Is,37,37,5,1008,97*,31.50,781,129.06,0,5,113,21,15,0
First-class,199,326,28,15064,311*,50.55,,,46,72,,,153,0
List A,194,189,12,8172,159,46.16,,,26,41,,,89,0
Twenty20,105,104,9,3013,97*,31.71,2385,126.33,0,20,332,56,29,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,94,5,54,37,0,-,-,-,4.11,-,0,0,0
ODIs,138,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,37,-,-,-,-,-,-,-,-,-,-,-,-
First-class,199,,393,277,1,1/10,,277.00,4.22,393.0,0,0,0
List A,194,,16,28,0,-,-,-,10.50,-,0,0,0
Twenty20,105,2,2,5,0,-,-,-,15.00,-,0,0,0
