,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,26,9,5,31,11,7.75,66,46.96,0,0,5,0,6,0
T20Is,8,2,2,3,3*,-,7,42.85,0,0,0,0,1,0
First-class,30,41,6,416,49,11.88,951,43.74,0,0,62,0,5,0
List A,47,20,9,138,24,12.54,207,66.66,0,0,13,2,15,0
Twenty20,79,18,10,64,21*,8.00,60,106.66,0,0,4,3,18,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,26,25,1121,1020,31,4/22,4/22,32.90,5.45,36.1,1,0,0
T20Is,8,8,138,185,6,2/28,2/28,30.83,8.04,23.0,0,0,0
First-class,30,52,4959,2324,95,5/45,9/136,24.46,2.81,52.2,4,5,0
List A,47,46,2165,1796,53,4/22,4/22,33.88,4.97,40.8,2,0,0
Twenty20,79,78,1584,2121,87,4/14,4/14,24.37,8.03,18.2,2,0,0

