,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,31,46,6,848,83,21.20,2066,41.04,0,4,102,12,25,0
List A,22,18,3,205,36,13.66,281,72.95,0,0,11,2,4,0
Twenty20,24,17,8,134,28*,14.88,117,114.52,0,0,8,8,13,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,31,45,4357,2069,69,6/91,8/155,29.98,2.84,63.1,5,4,0
List A,22,22,934,711,31,5/25,5/25,22.93,4.56,30.1,1,1,0
Twenty20,24,21,420,492,28,6/19,6/19,17.57,7.02,15.0,0,1,0



