,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,6,-,-,-,-,-,-,-,-,-,-,-,1,0
T20Is,2,-,-,-,-,-,-,-,-,-,-,-,0,0
First-class,12,15,6,171,33,19.00,196,87.24,0,0,19,7,1,0
List A,14,5,2,14,9,4.66,15,93.33,0,0,1,1,2,0
Twenty20,26,7,6,21,9*,21.00,11,190.90,0,0,2,1,3,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,6,6,302,269,7,3/56,3/56,38.42,5.34,43.1,0,0,0
T20Is,2,2,48,41,6,4/10,4/10,6.83,5.12,8.0,1,0,0
First-class,12,18,2051,1230,39,6/61,7/93,31.53,3.59,52.5,2,2,0
List A,14,14,743,725,23,4/60,4/60,31.52,5.85,32.3,1,0,0
Twenty20,26,26,519,671,28,4/10,4/10,23.96,7.75,18.5,1,0,0

