AC Botha,3.426666667,7.266666667,1
AC Douglas,7,8,8
AC Evans,6.28,15.85,2
AC Gilchrist,0,0.166666667,0
AC McDermott,9.113333333,21.05,5
AC Sharma,0,0,0
AC Thomas,7.635,17.225,8
AC Voges,5.891111111,12.3,1
AC Weththasinghe,12.665,0,4
ACF Wyatt,7.376666667,4.666666667,9
ACL Richards,0,0,5
ACP Mishra,6.2575,12.5,1
ACR Birch,7.748333333,25.6,8
AD Akash,0,0,4
AD Brown,0,0,8
AD Day,7.7,12,0
AD Galiem,6.535,14.55,1
AD Hales,3.375,0,7
AD Kaushik,0,0,8
AD Mascarenhas,7.29,17.27142857,1
AD Mathews,6.663333333,21.48888889,0
AD Nath,6.665,5.75,8
AD Poynter,0,0,8
AD Russell,8.381428571,33.37142857,7
AD Shanware,0,0,5
AD Solomons,8.576666667,14.13333333,1
AD Thomason,11.33,18,2
AD Weerasuriya,0,0,1
AD Yadav,6.8,10,5
ADC Silva,0,0,8
Adeel Malik,5.362222222,21.51111111,5
Adil Amin,6.632,20.5,1
Adil Bhatti,8.05,30.65,1
Adil Gulbahar,0,0,8
Adil Raza,7.35,28,7
Adil Reshi,3.25,0,5
Adnan Akmal,0,0,5
Adnan Baig,0,0,2
Adnan Ilyas,0,0,1
Adnan Malik,9.75,12,8
Adnan Mufti,0,0,2
Adnan Raees,0.92625,0,2
Adnan Rasool,7.708333333,12.45,1
Adnan Raza,0,0,8
ADS Fletcher,1.111111111,0,1
AE Hall,0,0,1
AE Kula,6.27,8.625,8
AE Proverbs,0,0,7
AE Willett,5.57,14,2
AEN Riley,8.508,22.8,1
AF Buurman,0,0,1
AF Erasmus,10,0,5
AF Ifill,3.66,0,1
AF Milne,8.111428571,24.4,9
Afaq Ahmed,10.33,0,1
Afaq Raheem,5.35,3.857142857,2
Afraz Khoso,6.75,14.4,8
Afroz Khan,7.885,16.1,2
Afsar Nawaz,1,0,1
Afsar Zazai,0,0,0
Aftab Ahmed,9.295,10.36666667,0
Aftab Alam,6.73,6.6,1
Aftab Niazi,0,0,4
Aftabuddin Alam,0,0,1
AG Botha,6.5,21.875,1
AG Cremer,6.371428571,23.71428571,8
AG Jungade,8.782,27.5,1
