,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,23,37,1,1000,129,27.77,2000,50.00,1,7,132,4,51,5
ODIs,71,60,13,1313,79,27.93,1793,73.22,0,7,138,12,49,7
T20Is,9,8,2,100,31*,16.66,88,113.63,0,0,14,1,5,2
First-class,143,217,16,8214,213,40.86,14105,58.23,24,35,,,341,40
List A,186,164,24,5006,154*,35.75,5559,90.05,8,25,,,165,37
Twenty20,199,175,22,3682,90*,24.06,2884,127.66,0,18,367,99,121,44
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,23,-,-,-,-,-,-,-,-,-,-,-,-
ODIs,71,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,9,-,-,-,-,-,-,-,-,-,-,-,-
First-class,143,,120,130,0,-,-,-,6.50,-,0,0,0
List A,186,-,-,-,-,-,-,-,-,-,-,-,-
Twenty20,199,1,12,10,1,1/10,1/10,10.00,5.00,12.0,0,0,0
