,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,10,14,1,320,105*,24.61,457,70.02,1,0,47,6,9,0
ODIs,105,89,5,1560,97,18.57,1683,92.69,0,8,142,64,31,0
T20Is,33,32,0,582,72,18.18,474,122.78,0,3,62,31,8,0
First-class,88,143,9,3852,155,28.74,,,7,15,,,82,0
List A,183,162,12,3500,97,23.33,,,0,26,,,59,0
Twenty20,267,260,22,6245,110*,26.23,4897,127.52,3,38,582,305,119,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,10,13,651,344,7,3/71,3/115,49.14,3.17,93.0,0,0,0
ODIs,105,73,2726,2285,61,5/45,5/45,37.45,5.02,44.6,3,1,0
T20Is,33,11,142,212,7,3/24,3/24,30.28,8.95,20.2,0,0,0
First-class,88,,8643,4272,138,5/17,,30.95,2.96,62.6,6,1,0
List A,183,,4551,3717,108,6/29,6/29,34.41,4.90,42.1,3,2,0
Twenty20,267,147,1992,2609,99,4/8,4/8,26.35,7.85,20.1,2,0,0
