,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,52,85,8,3431,185*,44.55,5976,57.41,9,17,412,17,40,0
List A,49,49,5,1877,131,42.65,,,5,9,,,25,0
Twenty20,59,52,9,982,101*,22.83,894,109.84,1,4,92,21,22,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,52,45,1296,604,16,5/20,5/20,37.75,2.79,81.0,0,1,0
List A,49,29,747,658,18,5/45,5/45,36.55,5.28,41.5,0,1,0
Twenty20,59,11,108,150,4,1/0,1/0,37.50,8.33,27.0,0,0,0



