,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,19,18,5,273,39,21.00,307,88.92,0,0,23,3,10,0
T20Is,15,6,3,18,6*,6.00,15,120.00,0,0,2,0,5,0
First-class,66,113,15,3033,131*,30.94,5514,55.00,5,12,369,51,69,0
List A,111,101,21,2749,117,34.36,2680,102.57,2,14,234,85,41,0
Twenty20,174,149,32,2549,129,21.78,1927,132.27,1,9,160,119,70,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,19,19,727,595,20,5/31,5/31,29.75,4.91,36.3,0,1,0
T20Is,15,15,210,310,11,3/27,3/27,28.18,8.85,19.0,0,0,0
First-class,66,108,8633,4843,136,5/24,9/87,35.61,3.36,63.4,6,3,0
List A,111,92,3663,3331,104,6/48,6/48,32.02,5.45,35.2,1,3,0
Twenty20,174,156,2816,3890,130,5/26,5/26,29.92,8.28,21.6,3,1,0

