,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,4,7,2,146,46,29.20,330,44.24,0,0,15,1,1,0
ODIs,88,74,15,2037,105,34.52,2533,80.41,2,11,142,45,37,0
T20Is,47,44,14,984,85*,32.80,740,132.97,0,5,71,44,23,0
First-class,150,253,29,8993,260*,40.14,,,19,44,,,165,0
List A,249,220,33,6825,145,36.49,8634,79.04,10,41,,,110,0
Twenty20,207,198,43,4737,141*,30.56,3701,127.99,2,31,331,204,86,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,4,8,558,342,5,2/71,3/119,68.40,3.67,111.6,0,0,0
ODIs,88,19,331,351,12,3/5,3/5,29.25,6.36,27.5,0,0,0
T20Is,47,5,42,51,1,1/11,1/11,51.00,7.28,42.0,0,0,0
First-class,150,,13430,7871,195,6/66,,40.36,3.51,68.8,,3,1
List A,249,,4084,3672,103,4/15,4/15,35.65,5.39,39.6,4,0,0
Twenty20,207,42,484,708,26,4/10,4/10,27.23,8.77,18.6,1,0,0
