,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,3,6,0,75,44,12.50,151,49.66,0,0,12,1,4,0
List A,31,24,7,405,55*,23.82,450,90.00,0,1,33,10,10,0
Twenty20,55,42,17,697,78*,27.88,539,129.31,0,2,53,33,17,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,3,-,-,-,-,-,-,-,-,-,-,-,-
List A,31,-,-,-,-,-,-,-,-,-,-,-,-
Twenty20,55,-,-,-,-,-,-,-,-,-,-,-,-



