,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,6,7,2,40,22*,8.00,92,43.47,0,0,4,1,2,0
ODIs,65,45,12,363,36,11.00,441,82.31,0,0,36,12,14,0
T20Is,39,16,8,126,30,15.75,92,136.95,0,0,11,5,3,0
First-class,13,18,6,213,40*,17.75,,,0,0,,,10,0
List A,83,55,15,451,36,11.27,,,0,0,,,17,0
Twenty20,196,67,31,401,30,11.13,327,122.62,0,0,24,23,37,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,6,11,1650,851,21,6/91,8/223,40.52,3.09,78.5,0,2,0
ODIs,65,65,3540,2435,92,6/27,6/27,26.46,4.12,38.4,4,2,0
T20Is,39,37,832,838,40,4/12,4/12,20.95,6.04,20.8,1,0,0
First-class,13,25,3023,1398,65,8/17,13/39,21.50,2.77,46.5,1,8,3
List A,83,83,4505,2867,131,6/9,6/9,21.88,3.81,34.3,5,5,0
Twenty20,196,192,4478,4245,241,5/19,5/19,17.61,5.68,18.5,10,1,0
