,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,3,2,0,18,13,9.00,19,94.73,0,0,1,0,1,0
First-class,137,194,21,6217,250,35.93,,,9,37,,,60,0
List A,141,117,18,2997,151,30.27,,,4,13,,,53,0
Twenty20,81,64,16,994,76,20.70,824,120.63,0,3,72,40,31,0


,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,3,3,114,94,1,1/25,1/25,94.00,4.94,114.0,0,0,0
First-class,137,,12820,5978,172,6/86,,34.75,2.79,74.5,,3,0
List A,141,,5323,3950,143,5/34,5/34,27.62,4.45,37.2,6,1,0
Twenty20,81,60,976,1157,47,3/6,3/6,24.61,7.11,20.7,0,0,0


