AD Solomons,8.576666667,14.13333333
AD Thomason,11.33,18
AD Weerasuriya,0,0
AD Yadav,6.8,10
ADC Silva,0,0
Adeel Malik,5.362222222,21.51111111
Adil Amin,6.632,20.5
Adil Bhatti,8.05,30.65
Adil Gulbahar,0,0
Adil Raza,7.35,28
Adil Reshi,3.25,0
Adnan Akmal,0,0
Adnan Baig,0,0
Adnan Ilyas,0,0
Adnan Malik,9.75,12
Adnan Mufti,0,0
Adnan Raees,0.92625,0
Adnan Rasool,7.708333333,12.45
Adnan Raza,0,0
ADS Fletcher,1.111111111,0
AE Hall,0,0
AE Kula,6.27,8.625
AE Proverbs,0,0
AE Willett,5.57,14
AEN Riley,8.508,22.8
AF Buurman,0,0
AF Erasmus,10,0
AF Ifill,3.66,0
AF Milne,8.111428571,24.4
Afaq Ahmed,10.33,0
Afaq Raheem,5.35,3.857142857
Afraz Khoso,6.75,14.4
Afroz Khan,7.885,16.1
Afsar Nawaz,1,0
Afsar Zazai,0,0
Aftab Ahmed,9.295,10.36666667
Aftab Alam,6.73,6.6
Aftab Niazi,0,0
Aftabuddin Alam,0,0
AG Botha,6.5,21.875
AG Cremer,6.371428571,23.71428571
AG Jungade,8.782,27.5
AG Murtaza,6.363333333,18.1
AG Paunikar,0,0
AG Pradeep,0,0
AG Praveen,6.63,34.05
AG Prince,0,0
AG Puttick,0,0
AG Salter,10.75,15.13333333
AG Wakely,4.142857143,0
AG Wharf,10.095,24.6
Agha Sabir,17.14,0
Agha Salman,3.62,18.73333333
AGK Silva,8.75,24
AGS Gous,0,0
AH Gupta,0,0
AH Hooda,7.346,19.46
AH Kawaja,0,0
AH Razak,5.846666667,11.2
AH Shahid,7.15,15
AHJ Huisamen,0,0
Ahmed Bashir,6.87,19.3
Ahmed Butt,6,0
Ahmed Dar,0,0
Ahmed Hayat,9,9
Ahmed Jamal,8.783333333,29.23333333
Ahmed Rasheed,0,0
Ahmed Raza,8.242222222,25
Ahmed Said,0,0
Ahmed Shah,0,0
Ahmed Shehzad,6.758888889,8.833333333
Ahmed Zeeshan,0,0
Ahsan Ali,0,0
Ahsan Jamil,11,0
Ahsan Kareem,12,0
Ahsan Malik,7.118,18.2
AHT Donald,0,0
AI Ross,0,0
Aizaz Cheema,7.3925,15.8875
Aizaz Khan,7.034,18.42
AJ Ball,8.786,20.14
AJ Blake,0,0
AJ Crosthwaite,0,0
AJ Dibble,5.5,24
AJ Doolan,0,0
AJ Finch,7.28,10.875
AJ Hall,6.365,10.51666667
AJ Harris,7.115,14.8
AJ Hodd,0,0
AJ Hose,0,0
AJ Hosein,4.706666667,26.66666667
AJ Ireland,9.241666667,16.85
AJ Malan,2.166666667,0
AJ McKay,7.8825,12.05
AJ Mellor,0,0
AJ Nye,8.2,10
AJ Pienaar,4.435,8.666666667
AJ Redmond,6.862857143,8.985714286
AJ Shinde,8.892,18.16
AJ Shrikhande,0,0
AJ Strauss,0,0
AJ Turner,4.3575,9.2
AJ Tye,7.466666667,17.93333333
AJA Gray,7.9775,8.15
AJA Wheater,0,0
AJADDLA Jayasinghe,0,0
Ajatshatru Singh,7.5,0
AJC Silva,8.633333333,23.1
AJN Price,4.166666667,0
AK Argal,8.145,14.25
AK Bains,0,0
AK Das,8.058,27
AK Heal,6.964,24.34
AK Karnewar,7.32,24.5
AK Kaushik,0,0
AK Kitchen,4.924285714,10.8
AK Kruger,7.687142857,12.72857143
AK Mandal,0,0
AK Markram,4.39,15.5
AK Perera,4.236666667,12.66666667
AK Sahoo,7.496,21.6
AK Sarkar,6.79,21
AK Thakur,6.835,14.4
AK Tyronne,7.1,6
Akash Sudan,9,12
Akash Verma,0,0
Akbar Badshah,8.0175,15.375
Akbar-ur-Rehman,6.432857143,19.14285714
Akhtar Ayub,6.565,16.8
AKKY Lanka,0,0
Akshat R Pandey,9.86,45
AL Davies,0,0
AL Dodson,0,0
AL Fekete,10.955,17.625
AL Hughes,8.36,23.43333333
AL Kumar,11.5,12
AL Menaria,6.492,29.18
AL Ndhlovu,0,0
AL Phehlukwayo,8.926666667,10.66666667
AL Seleka,0,0
Al-Amin,6.75,6
Al-Amin Hossain,8.068,17.16
Alamgir Khan,8,0
Alauddin Babu,9.56,16.575
Alex J Jones,8.375,18.4
Ali Abbas,0,0
Ali Ahmed,10,0
Ali Asad,0,0
Ali Asghar,6.09,13.2
Ali Azmat,7.685,22.5
Ali Haider,0,0
Ali Khan,7.71125,10.625
Ali Moazzam,9.166666667,4
Ali Mudassar,7.91,24
Ali Murtaza,9.83,9
Ali Rafiq,0,0
Ali Raza,4.04,11
Ali Sarfraz,0,0
Ali Shan,0,0
Ali Talpur,9.85,21
Ali Waqas,0,0
Alleyn Prospere,6.83,36
Almar Afridi,0,0
Alok Kapali,7.572,23
AM Ali,0,0
AM Amla,2.665,7.5
AM Baig,8,0
AM Blignaut,13.5,12
AM Bloch,7.07,84
AM Brooker,8.9,5.9
AM Dabas,8.11,0
AM Ellis,8.464444444,18.57777778
AM Guruge,7.426666667,18.83333333
AM Hegde,0,0
AM Hicks,6.5,12
AM Lilley,7.2975,24.825
AM Makda,7.745,33
AM Manyumwa,6.416666667,16.66666667
AM Maposa,7.285,10.825
AM McCarthy,0,0
AM Muller,7,0
AM Nayar,9.198888889,25.16666667
AM Northcote,3.4,22.5
AM Phangiso,6.817777778,17.53333333
AM Rahane,0.555555556,0.666666667
AM Rossington,0,0
AM Salvi,8.76,23
AM Samad,9,6
AM Sodumo,0,0
AMA Dewar,7.28,31.5
Amad Butt,10.485,11.8
Amarjeet Singh,7.798,22.74
AMCM de Silva,12,6
Ameer Khan,0,0
AMI Sheikh,7.5,0
Amin-ur-Rehman,0,0
Amir Ali,7.773333333,29.66666667
Amir Hamza,7.464,21.32
Amir Khan,0,0
Amit Kumar,2.176,5.4
Amit Mishra,7.186666667,18.16666667
Amit Verma,4.976666667,9.616666667
Amit Yadav,6.48,22.78
Amitoze Singh,4.19,15.33333333
Amjad Ali,0,0
Amjad Gul,8,0
Amjad Javed,7.996,22.08
Amjad Waqas,8.79,21.85
AML Perera,8.252,15.6
Ammar Ali,0,0
Ammar Hasan,0,0
Ammar Mahmood,0,0
Amrinder Singh,4.89,13.3
AN Ahmed,8.1825,25.65
AN Chauhan,8.2075,15.025
AN Cook,0,0
AN Fulper,0,0
AN Garhwal,6.675,19.5
AN Ghosh,0,0
AN Kervezee,0.928571429,0
AN Nanayakkara,3.56,6
AN Petersen,3.324444444,6.644444444
AN Yadav,6.91,19.6
Anamul Haque,0,0
Anand Rajan,6.958,17.6
Anand Singh,3.165,9
Anas Khan,7,0
Anirudh Singh,0,0
Anisur Rahman,0,0
Ankit Sharma,7.401428571,20.9
Ankit Tiwari,0,0
Ankur Sharma,0,0
Anmolpreet Singh,0,0
ANPR Fernando,7.37,24
Ansar Javed,6.2825,22.5
Anshuman Rath,8.245,102
Anurag Singh,6.4,6
Anureet Singh,8.04625,14.025
Anwaar Hafeez,0,0
Anwar Ahmed,7.29,11.25
Anwar Ali,7.60125,22.5875
AO Bandy,0,0
AO Suji,6.99,20.15
AO Thomas,0,0
AP Agathangelou,0,0
AP Bais,0,0
AP Chopra,0,0
AP Devcich,6.24,36.4875
AP Dole,10.18,13.2
AP Ghosh,0,0
AP Majumdar,0,0
AP McLaren,0,0
AP Palladino,7.506666667,31.3
AP Revandkar,6.5,6
AP Richardson,5.995,13.5
AP Rouse,0,0
AP Singh,0,0
AP Tare,0,0
AP Yadav,0,0
APR Gidman,7.58,15.5
Aqeel Anjum,0,0
Aqib Javed,9.5,0
AR Adams,7.881666667,20.71666667
AR Bawne,3.054,3.6
AR Beadle,7.62,48
AR Berenger,0,0
AR Bhati,6.28,42
AR Cusack,6.874285714,15.11428571
AR Ford,0,0
AR Gupta,5.33,0
AR Holder,1.25,0
AR Keath,9,0
AR Kumar,2.75,2
AR Lamb,10.22,18
AR McBrine,8.943333333,9
AR Nurse,7.332857143,22.82857143
AR Pandey,9,0
AR Patel,6.995,23.275
AR Sarangi,0,0
AR Singh,8,0
AR Swanepoel,7.305,44.375
AR White,4.744,11.04
AR Yadav,12.25,0
Arafat Salahuddin,4.5,0
Arafat Sunny,6.934285714,19.88571429
Arfan Haider,0,0
Arif Reza,0,0
Ariful Haque,2.605,3.5
Arindam Das,0,0
Armaghan Elahi,9.2,0
Arman Hossain,0,0
ARN Lesmond,0,0
ARPS Chauhan,3.95,6
ARS Silva,0,0
Arsal Sheikh,8,12
Arsalan Arif,9.15,28.5
Arsalan Qadir,12,0
Arshad Ali,4.85,14
Arun Lal,8.636666667,29.16666667
AS Dean,7.035,16
AS Desai,4.853333333,16
AS Hansra,6.88,20.26666667
AS Jaggernauth,8.57,0
AS Jain,0,0
AS Joseph,11.16,14.4
AS Joshi,0,0
AS Karambelkar,7.625,6.375
AS Kuila,10.33,12
AS Kushwah,7.29,32.5
AS Kyobe,0,0
AS Lamba,0,0
AS Luseno,7.1,60
AS Miller,7.81,17
AS Naidu,8.526666667,18.8
AS Patel,9.57,0
AS Polonowita,7,30
AS Rajpoot,8.1425,15.175
AS Raut,6.908,18.28
AS Roy,0,0
AS Sarkar,9.33,7.2
AS Silva,0,0
AS Singhvi,6.66,18
AS Sinha,0,0
AS Tiwari,6.87,29.6
AS Verma,0,0
AS Yadav,0,0
ASA Perera,0,0
Asad Afridi,0,0
Asad Ali,7.45375,26.825
Asad Baig,4.94,17
Asad Shafiq,2.833333333,2.666666667
Asad Zarar,4.66,18
Asadu Seiga,11.965,18
Asadullah Sumari,0,0
Asghar Stanikzai,1,0.666666667
Ashar Zaidi,7.93,17.225
Ashfaq Ahmed,0,0
Ashish Yadav,6.291666667,8.666666667
Ashutosh Singh,4,18
Ashwin Das,8.16,12
Asif Afridi,6.632,17.72
Asif Ahmed,11.60666667,8.333333333
Asif Ali,2.378181818,14.04545455
Asif Ashfaq,12.66,0
Asif Babar,0,0
Asif Hasan,6,48
Asif Hussain,0,0
Asif Khan,3.79,49.5
Asif Raza,5.872857143,15.32857143
Asif Zakir,6.83,4.5
Asim Khurshid,10.34,29
Aslam Sattar,8.185,24.5
AT Rayudu,0,0
AT Rehman,6.57,16.8
Ata-ur-Rehman,0,0
Ataullah,7.475,19.05
Atif Ashraf,0,0
Atif Jabbar,6.965,57
Atif Maqbool,6.848,18.86
AU Rashid,7.656666667,29.97777778
AUK Pathan,3.271428571,0
AV Kolhar,8,9
AV Lalcheta,7.193333333,27.9
AV Suppiah,7.018,18.66
AV Ubarhande,0,0
AV Vasavada,2.975,9.65
AV Wankhade,0,0
Avinash Yadav,8.155,13.85
AVL Madushan,5.5,0
AVS Nikethana,7.28,7
AW Ekanayake,7,16.8
AW Gale,0,0
AW Hawkins-Kay,6.38,18
AW Mathieson,11.475,16.325
AW O'Brien,7.312857143,23.24285714
AW Robinson,0,0
Awais Alam,15,12
Awais Dogar,0,0
Awais Khan,0,0
Awais Zia,4.797777778,7.722222222
Awal Khan,6.71,84
AWL Silva,3,0
AWR Barrow,0,0
AWR Smith,0,0
AY Patel,10.29,5.633333333
Ayan Khan,3.5,12
Ayaz Jamali,0,0
Ayaz Khan,10.5,12
Ayaz Tasawwar,1.2,0
AZ Lees,0,0
Azam Hussain,8.203333333,28.48888889
Azam Jan,0,0
Azam Khan,6.5175,28.5
Azeem Ghumman,2.302857143,1.371428571
Azeem Rafiq,7.615,17.1125
Azhar Abbas,6.88,16.2
Azhar Ali,4.728888889,6.966666667
Azhar Attari,11.21333333,26
Azhar Mahmood,7.747777778,19.61111111
Azharullah,8.394,14.62
Azizullah,8.946666667,8.233333333
AZM Dyili,0,0
B Akhil,8.575,22.925
B Aparajith,6.205,10.5
B Arun Kumar,6.2,20
B Ayyappa,5.18,12.8
B Barnard,4.003333333,15.5
B Bhandari,0,0
B Cachopa,0,0
B Casson,9,66
B Chipli,2.2,4.8
B Dial,4,0
B Fernando,7.475,13.9
B Geeves,9.616666667,14.9
B Indrajith,0,0
B Katsande,0,0
B Kerr,0,0
B Kumar,7.094285714,30.04285714
B Kynman,7.78,0
B Laughlin,7.81125,15.925
B Lee,7.3375,26.45
B Loomba,7.45,22
B Masaba,7.45,10.2
B Mavuta,8.75,24
B Mlambo,0,0
B Mohanty,6.343333333,26.26666667
B Moses,6.04,10.5
B Mugochi,6.846666667,29.36666667
B Musoke,0,0
B Palekar,0,0
B Regmi,6.0475,16.475
B Staddon,9.024,8.16
B Stanlake,7.14,10.5
B Sudhakar,6.56,13.425
B Sumanth,3.75,0
B Veer,9.27,22
B Vivek Singh,2.776666667,0
B Williams,6.92,66
B Zuiderent,0,0
BA Bhatt,7.06,16.875
BA Carse,3.66,18
BA DeFreitas,6.5,24
BA Godleman,0,0
BA Hutton,12,12
BA Knowles,7.575,17.6
BA Parchment,0,0
BA Raine,8.206666667,16.63333333
BA Stokes,7.388571429,22.11428571
Babar Ali,0,0
Babar Azam,4.234,11.4
Babar Hayat,0,0
Babar Khan,7.63,28.5
Babar Naeem,7.36,7.666666667
Babar Rehman,8.753333333,18.33333333
Baber Khan,6.66,18
BAC Howell,8.12,13.6
Baltej Singh,6.37,18.4
Bandeep Singh,3.666666667,0
Bashir Shah,7.05,31
Basil Thampi,7.206666667,20.26666667
BAW Mendis,7.077777778,18.8
Bazid Khan,5,0
BB Chari,3.333333333,4
BB McCullum,0,0
BB Mosena,8.132,10.2
BB Roy,9.703333333,11
BB Samantray,4.645,20.125
BB Sanjeewa,8,14
BB Sran,7.103333333,19.46666667
BBB Yearwood,10.2,30
BBJ Griggs,0,0
BBJL Perera,0,0
BC Brown,0,0
BC de Wett,3.443333333,17
BC Fortuin,5.433333333,14.86666667
BC Hiini,9.75,40
BC Lara,0,0
BC Stephney,8,24
BC Thomas,0,0
BC van Schalkwyk,1.905,11
BCJ Cutting,8.665555556,24.74444444
BD Cotton,10.05,20
BD Lingwal,10.5,0
BD Snijman,0,0
BD Solanki,10.25,48
BD Thaker,0,0
BD Walters,6.826666667,24.81666667
BDH Stevens,6.95,15
BE Hefford,8.855,21
BE Hendricks,9.473333333,15.16666667
BE McGain,8.412,21.3
BE Scott,8.07,23.8
BE Young,6.58,21
Behram Khan,0,0
BEW McCord,7.75,24
BF Smith,0,0
BG Barnes,0,0
BG Drew,10.482,17.8
BG McDonald,9.33,18
BGF Green,6,0
BHN Howgego,0,0
Bhupinder Singh,8.7275,31.5
BI Louw,0,0
Bilal Asif,6.67,22.1
Bilal Irshad,15,0
Bilal Khan,6.9,20.9
Bilal Khilji,5.63,11.5
Bilal Munir,0,0
Bilal Shah,0,0
Bilawal,8.75,12
Bilawal Bhatti,7.96,18.2
Bilawal Iqbal,13.33,0
Bipul Sharma,6.44,23.5
Bishawnath Halder,6.9,23.1
Bismillah Khan,0,0
BJ Arnel,7.914285714,37.28571429
BJ Bess,6,24
BJ Crook,0,0
BJ Diamanti,7.211428571,15.45714286
BJ Dwarshuis,8.973333333,18.7
BJ Haddin,0,0
BJ Hodge,7.18,18.25555556
BJ McCarthy,8.97,15.8
BJ Pelser,6.9025,17.9
BJ Phillips,8.0925,16.275
BJ Rohrer,1.333333333,0
BJ Small,9.0475,35.25
BJ Taylor,11.29,10.3
BJ Thakkar,7.28,0
BJ Watling,0,0
BJ Wright,0.6875,3
BJ Young,6.9275,19.125
BJM Scott,0,0
BK Ipson,6.85,21
BKEL Milantha,0,0
BKG Mendis,0,0
BL Barends,7.788333333,25.03333333
BL Bennett,0,0
BL D'Oliveira,7.896,47.72
BL Panda,6.425,10.5
BL Reddy,0,0
BM Ashkenazi,7.41,5.6
BM Brown,5.75,9.6
BM Chapungu,1,1.2
BM Chauhan,0,0
BM Dolley,6.584,25.64
BM Duckett,0,0
BM Edmondson,8.7,18.34
BM Scholtz,6.964285714,19.01428571
BM Scullard,6.67,15.56666667
BM Shafayat,2,0
BM Wheeler,9.1425,17.825
BMAJ Mendis,6.933333333,21.34444444
BMB Ekanayake,0,0
BMDK Mendis,7.056666667,16.66666667
BMK Patton,0,0
BMRNB Ratnayake,0,0
BMTT Mendis,0,0
BN Cooper,0,0
BN Jadeja,6.44,31.6
BN Shushu,5.88,5.7
BO Coad,9.975,17.5
BOP Fernando,0,0
BP Baria,14,0
BP Martin,8.076666667,26.85
BP Nash,6.22,6
BP Rodden,0,0
BP Sandeep,7.353333333,37.33333333
BR Dorey,7.84,18.475
BR Dunk,2.625,0
BR Hampton,14.6,0
BR McDermott,0,0
BR Orton,0,0
BR Shetty,0,0
BRM Taylor,0.76,2.3375
BS Bartley,11.33,36
BS Dean,14.5,12
BS Makhanya,8.45,37
BS Oakley,12.5,0
BS Pati,0,0
BS Smith,0,0
BS Wilson,0,0
BSR Das,7.166,4.8
BT Cockley,15,0
BT Foakes,0,0
BT Kruger,0,0
BT Mujuru,0,0
BT Slater,0,0
