AD Galiem,9.25,73.21
AD Hales,26.0675,133.66375
AD Kaushik,22.90333333,105.08
AD Mascarenhas,15.32,125.4642857
AD Mathews,23.66555556,117.4177778
AD Nath,16.94,107.82
AD Poynter,13.952,88.394
AD Russell,22.43428571,158.62
AD Shanware,23,95.83
AD Solomons,21.49666667,140.04
AD Thomason,4,70.58
AD Weerasuriya,21.25,108.97
AD Yadav,0,0
ADC Silva,3,50
Adeel Malik,15.31444444,126.94
Adil Amin,26.314,115.948
Adil Bhatti,8.81,94.385
Adil Gulbahar,15.66,78.33
Adil Raza,0,100
Adil Reshi,12.6125,90.5475
Adnan Akmal,5.483333333,71.67
Adnan Baig,11.5,66.485
Adnan Ilyas,20.45333333,115.3866667
Adnan Malik,0,0
Adnan Mufti,11.5,102.22
Adnan Raees,26.7625,115.375
Adnan Rasool,9.5,58.52666667
Adnan Raza,10.88666667,82.63333333
ADS Fletcher,30.85444444,111.1711111
AE Hall,2,25
AE Kula,0.5,41.665
AE Proverbs,1,20
AE Willett,23,153.33
AEN Riley,1.5,73.362
AF Buurman,3,56.25
AF Erasmus,5,55.55
AF Ifill,12,92.3
AF Milne,3.5,107.3557143
Afaq Ahmed,0,150
Afaq Raheem,24.63857143,104.9214286
Afraz Khoso,7,100
Afroz Khan,10.5,92.73
Afsar Nawaz,6.97,107.4033333
Afsar Zazai,9,42.85
Aftab Ahmed,8.626666667,85.48333333
Aftab Alam,10.59375,55.39375
Aftab Niazi,12.5,80.64
Aftabuddin Alam,9.5,79.16
AG Botha,18.67,122.3025
AG Cremer,13.13857143,91.07285714
AG Jungade,6.6,69.332
AG Murtaza,4.583333333,70.35166667
AG Paunikar,19.11666667,123.2066667
AG Pradeep,18.53666667,103.2066667
AG Praveen,18.5,69.7175
AG Prince,27.73,116.11
AG Puttick,25.69625,102.985
AG Salter,18.75,110.7666667
AG Wakely,26.76857143,119.03
AG Wharf,8,102.08
Agha Sabir,27,135
Agha Salman,10.5,82.42333333
AGK Silva,0,0
AGS Gous,25.83,137.3966667
AH Gupta,22.1,84.328
AH Hooda,0.432,24.444
AH Kawaja,9.5,43.18
AH Razak,7.11,94.77333333
AH Shahid,0,0
AHJ Huisamen,6.5,81.25
Ahmed Bashir,0,133.33
Ahmed Butt,5.625,63.75
Ahmed Dar,20.66,131.91
Ahmed Hayat,0,0
Ahmed Jamal,5.583333333,82.61333333
Ahmed Rasheed,14,175
Ahmed Raza,4.111111111,63.33222222
Ahmed Said,80,109.58
Ahmed Shah,0,0
Ahmed Shehzad,25.78666667,118.8722222
Ahmed Zeeshan,16,82.05
Ahsan Ali,26.895,125.7425
Ahsan Jamil,0,0
Ahsan Kareem,0,0
Ahsan Malik,3.6,64.888
AHT Donald,16.055,101.705
AI Ross,17.66666667,107.7833333
Aizaz Cheema,1,60.38875
Aizaz Khan,10.186,83.496
AJ Ball,6.096,98.486
AJ Blake,19.85142857,118.2028571
AJ Crosthwaite,17.2975,124.765
AJ Dibble,0,0
AJ Doolan,9.6,85.12
AJ Finch,33.75,127.8425
AJ Hall,14.72,91.295
AJ Harris,3,60
AJ Hodd,10.99,91.5675
AJ Hose,12,116.665
AJ Hosein,12.16666667,93.33333333
AJ Ireland,5.693333333,74.83333333
AJ Malan,10.78333333,88.17
AJ McKay,3.875,40
AJ Mellor,0,142.85
AJ Nye,11.5,100
AJ Pienaar,30.005,113.6616667
AJ Redmond,21.38142857,114.3485714
AJ Shinde,7.5,64.186
AJ Shrikhande,8.83,81.53
AJ Strauss,19.4,99.505
AJ Turner,16.33,126.435
AJ Tye,7.163333333,78.27333333
AJA Gray,20.5,111.6625
AJA Wheater,14.80125,100.635
AJADDLA Jayasinghe,44.165,127.235
Ajatshatru Singh,0,136.36
AJC Silva,9.433333333,107.3266667
AJN Price,23.50166667,107.99
AK Argal,4.125,86.84
AK Bains,19.1025,90.6925
AK Das,1.8,47.714
AK Heal,4,75
AK Karnewar,18.66,175
AK Kaushik,3,37.5
AK Kitchen,23.24428571,121.4871429
AK Kruger,4.685714286,45.06857143
AK Mandal,18.33,91.39
AK Markram,16.55333333,126.73
